Date,Open,High,Low,Close,Adj Close,Volume
2017-09-14,210.990005,210.990005,207.369995,208.990005,206.920776,32800
2017-09-15,208.050003,209.949997,206.809998,208.889999,206.821762,74700
2017-09-18,208.410004,211.970001,208.410004,210.889999,208.801941,41200
2017-09-19,211.179993,214.630005,209.289993,211.389999,209.296997,33300
2017-09-20,210.770004,212.139999,208.000000,209.580002,207.504929,31400
2017-09-21,208.949997,209.809998,207.809998,208.770004,206.702942,27900
2017-09-22,209.050003,210.800003,208.419998,209.300003,207.227676,29600
2017-09-25,208.570007,211.009995,208.570007,210.619995,208.534637,39500
2017-09-26,210.179993,214.000000,208.789993,210.250000,208.168304,42300
2017-09-27,211.110001,213.539993,208.009995,213.050003,210.940552,47100
2017-09-28,213.100006,216.270004,210.869995,215.009995,212.881149,46900
2017-09-29,215.690002,218.130005,213.669998,215.750000,213.613831,31800
2017-10-02,216.919998,218.919998,215.490005,217.960007,215.801956,30300
2017-10-03,219.009995,219.800003,217.119995,219.000000,216.831635,38300
2017-10-04,219.449997,220.910004,217.770004,220.449997,218.267273,20300
2017-10-05,221.600006,223.470001,220.119995,221.529999,219.336609,49100
2017-10-06,221.130005,221.130005,217.899994,218.910004,216.742538,33700
2017-10-09,219.500000,223.399994,218.910004,220.600006,218.415833,40800
2017-10-10,221.479996,223.490005,219.960007,223.320007,221.108902,36100
2017-10-11,223.369995,227.369995,223.369995,226.369995,224.128662,40100
2017-10-12,226.369995,226.399994,224.660004,225.509995,223.277191,27600
2017-10-13,225.990005,227.899994,225.300003,225.300003,223.069260,28300
2017-10-16,224.850006,228.029999,224.850006,227.100006,224.851440,30900
2017-10-17,227.000000,227.229996,222.789993,225.899994,223.663315,38500
2017-10-18,226.000000,227.960007,222.500000,226.279999,224.039566,20300
2017-10-19,226.300003,227.300003,223.809998,225.740005,223.504898,26600
2017-10-20,227.470001,227.899994,224.169998,224.839996,222.613846,19000
2017-10-23,225.410004,226.490005,224.009995,224.220001,221.999969,32300
2017-10-24,225.309998,225.919998,221.820007,223.800003,221.584122,29600
2017-10-25,223.399994,224.589996,220.899994,223.389999,221.178192,22500
2017-10-26,222.949997,225.779999,222.649994,223.860001,221.891846,22800
2017-10-27,224.949997,225.339996,221.970001,222.570007,220.613220,28200
2017-10-30,222.160004,223.360001,220.250000,221.020004,219.076828,22700
2017-10-31,222.320007,227.690002,221.570007,225.559998,223.576904,31300
2017-11-01,226.250000,228.110001,224.059998,224.699997,222.724442,34500
2017-11-02,225.130005,225.899994,223.360001,224.419998,222.446945,19800
2017-11-03,225.199997,225.800003,222.330002,224.190002,222.218964,21500
2017-11-06,223.559998,225.250000,223.000000,224.259995,222.288345,31100
2017-11-07,224.119995,225.250000,221.360001,223.929993,221.961227,38900
2017-11-08,220.300003,220.300003,182.259995,206.259995,204.446579,360600
2017-11-09,204.559998,204.699997,198.000000,198.009995,196.269119,80100
2017-11-10,197.479996,200.600006,194.339996,195.869995,194.147949,61000
2017-11-13,195.869995,204.789993,195.869995,202.119995,200.342987,57300
2017-11-14,202.250000,207.199997,202.250000,204.149994,202.355133,78700
2017-11-15,201.839996,203.860001,198.910004,199.880005,198.122696,59600
2017-11-16,200.110001,205.589996,200.110001,204.419998,202.622772,59400
2017-11-17,202.830002,205.500000,202.229996,202.740005,200.957550,37000
2017-11-20,202.860001,204.500000,200.000000,204.259995,202.464172,63200
2017-11-21,204.259995,207.419998,203.139999,207.419998,205.596390,47000
2017-11-22,206.639999,207.479996,203.990005,204.550003,202.751648,40400
2017-11-24,204.080002,206.580002,202.500000,204.550003,202.751648,17800
2017-11-27,203.850006,206.250000,203.139999,205.509995,203.703186,47200
2017-11-28,205.149994,209.539993,203.850006,207.050003,205.229645,78700
2017-11-29,209.130005,212.639999,207.500000,211.440002,209.581039,67800
2017-11-30,212.160004,216.119995,211.500000,215.710007,213.813538,59700
2017-12-01,215.020004,218.589996,212.399994,216.929993,215.022797,50400
2017-12-04,218.300003,219.500000,212.100006,212.690002,210.820084,52600
2017-12-05,212.309998,213.490005,210.380005,211.600006,209.739655,37100
2017-12-06,211.339996,220.000000,211.339996,218.880005,216.955643,35700
2017-12-07,218.970001,225.250000,213.350006,225.199997,223.220047,70100
2017-12-08,226.910004,226.910004,220.289993,224.970001,222.992096,67800
2017-12-11,225.009995,229.000000,222.100006,227.520004,225.519684,73600
2017-12-12,227.410004,229.470001,222.009995,223.229996,221.267395,71500
2017-12-13,223.199997,226.300003,218.179993,218.539993,216.618622,66400
2017-12-14,219.699997,220.000000,216.000000,216.800003,214.893921,62500
2017-12-15,217.309998,226.479996,216.080002,226.389999,224.399628,169300
2017-12-18,227.910004,230.000000,223.250000,224.610001,222.635239,41000
2017-12-19,224.850006,225.500000,221.270004,222.339996,220.385193,51500
2017-12-20,221.070007,223.949997,220.910004,222.570007,220.613220,30800
2017-12-21,223.050003,229.429993,222.070007,224.059998,222.090073,79800
2017-12-22,225.300003,227.449997,221.570007,221.970001,220.018463,30900
2017-12-26,222.000000,222.970001,217.639999,218.660004,216.737579,68300
2017-12-27,218.089996,220.130005,216.809998,219.520004,217.589996,76300
2017-12-28,219.559998,220.399994,216.820007,216.830002,214.923660,40800
2017-12-29,218.160004,218.899994,215.000000,215.259995,213.367462,38200
2018-01-02,214.000000,216.119995,210.210007,211.279999,209.422455,64200
2018-01-03,211.000000,211.899994,208.000000,209.000000,207.162506,42100
2018-01-04,209.000000,211.500000,205.009995,205.509995,203.703186,56100
2018-01-05,206.000000,206.110001,200.509995,202.000000,200.224045,53900
2018-01-08,202.000000,209.470001,200.750000,208.949997,207.112946,59900
2018-01-09,209.000000,213.490005,205.149994,205.500000,203.693283,65400
2018-01-10,205.080002,206.869995,201.830002,205.179993,203.376083,45000
2018-01-11,206.580002,207.399994,202.990005,203.960007,202.166824,63000
2018-01-12,204.020004,205.690002,200.009995,200.509995,198.747147,51800
2018-01-16,202.059998,203.750000,200.009995,201.690002,199.916779,55500
2018-01-17,202.149994,205.490005,200.940002,204.250000,202.454254,44900
2018-01-18,204.100006,206.000000,202.000000,202.960007,201.175598,53700
2018-01-19,203.119995,208.000000,203.119995,207.270004,205.447723,59000
2018-01-22,207.509995,209.740005,204.009995,205.990005,204.178955,53600
2018-01-23,206.600006,207.080002,205.119995,206.360001,204.545700,43400
2018-01-24,207.080002,208.000000,204.000000,205.509995,203.703186,61500
2018-01-25,205.889999,206.860001,202.720001,204.429993,202.879440,56300
2018-01-26,204.949997,207.419998,203.369995,206.940002,205.370453,62300
2018-01-29,205.910004,207.500000,201.779999,202.059998,200.527435,63600
2018-01-30,201.279999,204.089996,201.080002,203.100006,201.559570,32000
2018-01-31,203.000000,204.110001,201.000000,202.520004,200.983963,42800
2018-02-01,201.779999,206.259995,201.350006,202.839996,201.301544,80200
2018-02-02,201.509995,204.960007,198.029999,199.240005,197.728867,93300
2018-02-05,198.429993,199.000000,185.779999,186.699997,185.283951,65900
2018-02-06,182.089996,188.309998,180.389999,184.559998,183.160172,69100
2018-02-07,185.029999,189.070007,184.000000,187.610001,186.187042,40400
2018-02-08,187.610001,188.610001,182.580002,182.580002,181.195190,56000
2018-02-09,184.479996,187.479996,178.490005,182.289993,180.907394,52500
2018-02-12,184.110001,185.639999,180.479996,180.970001,179.597427,63400
2018-02-13,181.100006,184.990005,180.000000,183.410004,182.018921,58000
2018-02-14,182.710007,185.970001,182.710007,183.789993,182.395996,36500
2018-02-15,185.029999,190.199997,185.000000,189.020004,187.586349,31800
2018-02-16,191.110001,194.850006,188.889999,190.690002,189.243698,42600
2018-02-20,190.440002,190.440002,185.000000,185.729996,184.321304,35800
2018-02-21,185.949997,188.210007,183.089996,183.520004,182.128067,46800
2018-02-22,183.750000,185.440002,182.009995,183.039993,181.651703,44400
2018-02-23,183.350006,184.000000,181.500000,182.169998,180.788300,36200
2018-02-26,182.830002,186.309998,182.830002,185.619995,184.212128,52600
2018-02-27,185.460007,187.100006,182.199997,182.199997,180.818100,61600
2018-02-28,187.190002,190.820007,183.470001,186.610001,185.194626,59100
2018-03-01,187.169998,189.330002,182.059998,185.509995,184.102966,42400
2018-03-02,184.809998,192.839996,183.270004,191.199997,189.749817,73300
2018-03-05,189.160004,190.490005,185.949997,186.000000,184.589264,45500
2018-03-06,185.860001,189.000000,184.460007,188.779999,187.348175,59400
2018-03-07,185.529999,189.929993,184.190002,185.309998,183.904495,48400
2018-03-08,185.990005,189.699997,185.309998,188.809998,187.377930,32100
2018-03-09,189.330002,190.240005,185.160004,187.860001,186.435150,47500
2018-03-12,187.820007,189.990005,186.139999,187.479996,186.058029,30900
2018-03-13,187.889999,188.220001,186.000000,186.490005,185.075562,35200
2018-03-14,186.710007,187.500000,183.449997,183.910004,182.515106,44300
2018-03-15,183.899994,184.580002,179.119995,179.500000,178.138550,53600
2018-03-16,179.839996,182.690002,179.009995,182.440002,181.056259,75800
2018-03-19,182.000000,182.199997,178.210007,179.350006,177.989700,45400
2018-03-20,179.500000,180.990005,177.009995,179.100006,177.741592,26500
2018-03-21,178.779999,179.039993,176.500000,176.500000,175.161316,22300
2018-03-22,175.449997,177.320007,174.500000,175.669998,174.337601,47600
2018-03-23,175.419998,175.619995,168.539993,169.589996,168.303726,27700
2018-03-26,171.710007,174.259995,170.800003,173.559998,172.243607,44600
2018-03-27,174.100006,177.240005,171.820007,172.550003,171.241272,30100
2018-03-28,172.940002,175.389999,171.699997,174.179993,172.858902,18600
2018-03-29,175.240005,177.630005,172.649994,172.669998,171.360367,82500
2018-04-02,172.639999,173.660004,168.759995,170.300003,169.008347,51900
2018-04-03,171.320007,174.990005,169.979996,174.039993,172.719955,35500
2018-04-04,172.000000,178.949997,171.830002,177.759995,176.411743,55800
2018-04-05,179.100006,179.100006,175.779999,176.720001,175.379669,52000
2018-04-06,175.250000,176.699997,172.809998,174.750000,173.424576,31300
2018-04-09,175.690002,177.300003,174.550003,174.880005,173.553635,34700
2018-04-10,176.130005,177.199997,173.360001,174.750000,173.424576,45500
2018-04-11,173.809998,175.000000,172.279999,174.080002,172.759674,37500
2018-04-12,174.110001,175.570007,172.000000,172.360001,171.052719,22100
2018-04-13,173.000000,174.910004,171.300003,172.679993,171.370285,26000
2018-04-16,173.699997,175.889999,173.289993,175.100006,173.771942,20700
2018-04-17,175.820007,177.160004,171.380005,175.479996,174.149048,47800
2018-04-18,175.500000,176.479996,173.979996,174.270004,172.948227,67600
2018-04-19,174.110001,174.110001,169.339996,169.350006,168.065536,38700
2018-04-20,169.270004,170.830002,168.460007,169.770004,168.482361,58900
2018-04-23,170.070007,171.830002,160.000000,168.550003,167.271622,35300
2018-04-24,169.279999,169.410004,166.270004,167.199997,165.931854,23600
2018-04-25,167.440002,169.250000,164.580002,165.720001,164.463058,30800
2018-04-26,165.899994,169.509995,165.899994,168.779999,167.752945,26100
2018-04-27,169.070007,169.470001,166.119995,167.500000,166.480728,49400
2018-04-30,168.130005,169.330002,167.000000,168.389999,167.365311,30600
2018-05-01,168.179993,169.449997,165.669998,169.009995,167.981552,29100
2018-05-02,169.020004,169.020004,164.119995,164.449997,163.449280,28900
2018-05-03,163.779999,166.300003,162.050003,162.399994,161.411758,28500
2018-05-04,162.759995,166.559998,162.029999,164.869995,163.866745,27000
2018-05-07,164.839996,168.059998,164.440002,165.300003,164.294128,41400
2018-05-08,165.070007,170.149994,164.000000,168.860001,167.832458,50700
2018-05-09,159.750000,159.860001,132.669998,133.110001,132.299988,432200
2018-05-10,134.300003,140.869995,133.500000,137.660004,136.822327,219500
2018-05-11,137.820007,139.850006,130.000000,130.850006,130.053757,156200
2018-05-14,130.850006,132.000000,126.750000,126.800003,126.028397,191200
2018-05-15,126.650002,130.199997,125.750000,127.220001,126.445847,130500
2018-05-16,127.209999,128.619995,125.559998,126.480003,125.710342,88200
2018-05-17,126.480003,130.839996,126.250000,129.759995,128.970367,106700
2018-05-18,130.119995,130.339996,128.300003,129.259995,128.473434,50500
2018-05-21,129.710007,130.619995,128.460007,129.270004,128.483353,51300
2018-05-22,129.229996,129.229996,127.169998,128.639999,127.857193,39000
2018-05-23,128.649994,129.720001,127.239998,128.759995,127.976448,52200
2018-05-24,128.270004,130.080002,127.010002,127.440002,126.664497,59100
2018-05-25,127.570000,129.029999,126.620003,126.970001,126.197357,53800
2018-05-29,126.730003,129.000000,126.730003,128.490005,127.708130,54000
2018-05-30,128.000000,131.089996,127.800003,129.289993,128.503235,53800
2018-05-31,129.639999,130.429993,125.080002,127.410004,126.634689,62700
2018-06-01,127.730003,127.970001,126.110001,126.660004,125.889252,48500
2018-06-04,127.570000,129.740005,126.410004,129.440002,128.652328,62900
2018-06-05,129.789993,129.979996,127.250000,128.300003,127.519264,38500
2018-06-06,128.210007,128.490005,126.550003,126.970001,126.197357,43100
2018-06-07,127.400002,129.500000,127.000000,129.410004,128.622513,42800
2018-06-08,128.880005,130.830002,128.789993,129.699997,128.910736,62300
2018-06-11,130.009995,131.500000,126.839996,130.830002,130.033859,40300
2018-06-12,130.830002,134.770004,130.830002,134.179993,133.363480,88600
2018-06-13,134.720001,135.490005,131.630005,132.279999,131.475067,57200
2018-06-14,132.649994,134.149994,131.229996,132.889999,132.081345,32600
2018-06-15,132.339996,134.539993,132.339996,134.179993,133.363480,82400
2018-06-18,134.039993,134.250000,130.300003,130.979996,130.182953,67300
2018-06-19,130.539993,132.500000,130.220001,130.929993,130.133270,57900
2018-06-20,131.850006,131.850006,128.160004,129.630005,128.841187,61600
2018-06-21,129.600006,132.009995,129.449997,131.880005,131.077469,45400
2018-06-22,132.190002,135.429993,131.100006,135.410004,134.585999,75100
2018-06-25,134.610001,136.199997,133.990005,135.979996,135.152512,53900
2018-06-26,136.100006,136.750000,133.250000,134.789993,133.969772,48200
2018-06-27,134.679993,135.199997,129.889999,129.990005,129.198990,43000
2018-06-28,129.880005,135.250000,129.410004,134.619995,133.800812,48400
2018-06-29,135.119995,135.610001,133.470001,135.130005,134.307724,33800
2018-07-02,134.429993,134.429993,130.800003,132.759995,131.952118,51600
2018-07-03,133.360001,134.800003,132.830002,133.080002,132.270187,41000
2018-07-05,133.949997,134.259995,132.649994,134.110001,133.293915,65300
2018-07-06,134.160004,138.410004,133.529999,138.029999,137.190063,61100
2018-07-09,138.470001,138.669998,136.190002,136.729996,135.897964,56100
2018-07-10,137.990005,138.100006,136.050003,137.979996,137.140366,28900
2018-07-11,137.850006,138.550003,136.190002,137.419998,136.583755,40500
2018-07-12,137.449997,138.960007,136.000000,136.610001,135.778687,34500
2018-07-13,136.179993,137.100006,134.419998,135.479996,134.655579,25900
2018-07-16,135.619995,135.720001,133.070007,134.130005,133.313812,33000
2018-07-17,134.220001,136.820007,134.220001,135.710007,134.884186,22600
2018-07-18,135.720001,135.789993,132.220001,134.369995,133.552322,36100
2018-07-19,134.149994,136.699997,133.009995,136.419998,135.589874,46600
2018-07-20,135.949997,138.759995,135.949997,138.199997,137.359039,40300
2018-07-23,138.250000,139.500000,137.500000,139.389999,138.541779,46300
2018-07-24,139.850006,140.050003,136.600006,138.550003,137.706894,37700
2018-07-25,138.639999,139.009995,135.610001,138.190002,137.349106,39800
2018-07-26,137.639999,139.639999,137.619995,138.399994,137.807114,33700
2018-07-27,138.600006,140.679993,138.199997,139.929993,139.330566,59100
2018-07-30,139.570007,143.190002,138.000000,142.899994,142.287811,37200
2018-07-31,143.539993,145.600006,141.660004,145.119995,144.498322,45300
2018-08-01,145.649994,149.039993,143.910004,148.020004,147.385910,67200
2018-08-02,148.399994,149.080002,147.199997,148.149994,147.515335,36800
2018-08-03,148.399994,151.660004,148.169998,149.479996,148.839630,39800
2018-08-06,149.970001,153.690002,149.970001,151.740005,151.089981,38100
2018-08-07,152.160004,152.899994,147.679993,152.020004,151.368774,91100
2018-08-08,151.229996,154.039993,149.029999,153.350006,152.693085,56700
2018-08-09,144.000000,171.179993,142.740005,166.369995,165.657288,156500
